Question	Answer1	Answer2	SU Type	SU Sub Type	Question Type
who is the 2nd earl of essex ?	robert devereux	robert devereux	Concept	Entity	Relation between Concepts
how often does mrs. inglethorpe change her will ?	at least once a year	every year	Attribute	Numerics	Attribute of Concept
what did madam de merret s husband do when she asked him not to look in the closet ?	he hired a mason to wall off the closet .	had a wall constructed .	Event	Event Expression	Temporal Relation
what religion is cyril ?	she is a christian .	christian .	Attribute	States	Attribute of Concept
what did charity learn while at the doctor ?	that she was pregnant .	she is pregnant	Attribute	States	Nested Relation
what role did mr. fletcher play on the estate ?	"he was the manager in the past , but is now the owner ."	past manager	Attribute	Common Noun Phrases	Event Argument - Concept
when did the ban get lifted ?	1940 .	1940	Attribute	Numerics	Event Argument - Attribute
why is pozdnyshev acquitted of the murder ?	due to his wife s infidelity	wife was cheating	Event	Event Expression	Causal Relation
how does astolfo get to the moon ?	in elijah s flaming chariot .	in elijahs flaming chariot	Concept	Book-Specific	Event Argument - Concept
where does master holdenough see the reflection of a friend who drowned ?	in a mirror	in a mirror	Concept	Common Noun Phrases	Nested Relation
what attratcs men to anderson ?	her beauty attracts men to her .	her beauty	Attribute	States	Attribute of Concept
how many languages were the remaining clues in ?	3	three	Attribute	Numerics	Attribute of Concept
what sport does livingston play ?	basketball	basketball	Concept	Common Noun Phrases	Relation between Concepts
"after finding out about ruth and being arrested , what does falder do to avoid his fate ?"	throws himself down the stairs and breaks his neck .	breaks his neck by throwing himself down the stairs .	Event	Event Expression	Temporal Relation
which woman was very jealous of josiah s wife ?	morella winmarleigh	morella winmarleigh	Concept	Entity	Attribute of Concept
who does angelica fall in love with and elope with to cathay ?	medoro .	medoro	Concept	Entity	Event Argument - Concept
who does the christian mob blame for the unrest in the city ?	the mob blames hypatia .	hypatia .	Concept	Entity	Nested Relation
what does astolfo ride to ethiopia ?	a hippogriff .	a hippogriff	Concept	Book-Specific	Event Argument - Concept
how are philammon and pelagia related ?	pelagia is philammon s long lost sister .	pelagia is philammon long lost sister	Attribute	Descriptions	Relation between Concepts
what poison was given to mrs. inglethorpe ?	strychnine	strychnine	Concept	Common Noun Phrases	Event Argument - Concept
whose sacrifice delays the picts ?	balthus and slasher .	balthus and slasher	Concept	Entity	Nested Relation
who commits kate to prison ?	"phillip , the deemster , sends kate to prison ."	phillip	Concept	Entity	Event Argument - Concept
when did dominic s wife throw a picnic ?	18 months after josiah died	when josiah brown passes away .	Event	Event Expression	Temporal Relation
what does podzdnyshev do to hide his jealousy ?	leaves on a trip	by going on a trip	Event	Event Expression	Nested Relation
who tried to trick the princess into thinking he was captain duval ?	the inca of perusalem	inca of perusalem	Concept	Entity	Nested Relation
"after escaping from baron henry , where does otto take refuge ?"	the monastery where he grew up .	the monastery	Concept	Book-Specific	Temporal Relation
why was mrs helen graham not free to marry ?	because she was actually married to arthur huntingdon .	her husband was ill .	Attribute	Descriptions	Causal Relation
why does dorian go to the opium den ?	to escape his guilt .	to escape the guilt of his crime .	Event	Event Expression	Causal Relation
how did the goths worsihp their gods ?	they goths worshiped their gods by sacrificing horses .	by sacrificing horses .	Event	Event Expression	Nested Relation
what does ernest believe will regenerate the church of england ?	he believes that living among the poor will help the church of england .	the way to regenerate the church of england would be to live among the poor .	Event	Event Expression	Nested Relation
what does mary devote much of her time to ?	charity	charity	Concept	Common Noun Phrases	Attribute of Concept
where does diana want to travel to at the beginning of the story ?	the desert	desert	Concept	Book-Specific	Event Argument - Concept
who are pete s fictional letters supposed to be from ?	kate	a fictional uncle	Concept	Entity	Event Argument - Concept
what is tom s latest invention ?	a photo telephone .	a photo telephone	Concept	Book-Specific	Event Argument - Concept
who dies while rebecca is gone ?	miranda	miranda	Concept	Entity	Temporal Relation
what did ermyntrude expect to accomplish by taking a job as a lady s maid ?	to marry a millionaire .	marry another millionaire .	Event	Event Expression	Nested Relation
how many are not told from watson s point of view ?	four .	4	Attribute	Numerics	Event Argument - Attribute
who awakens echo ?	mercury	mercury	Concept	Entity	Event Argument - Concept
what is mary taught after her brother dies ?	accomplishments	she learns how to dance .	Event	Event Expression	Temporal Relation
where is the princess met by the manager ?	hotel	a hotel sitting room	Concept	Common Noun Phrases	Event Argument - Concept
what does troilus suggest he and criseyde do to avoid her being sent to greece ?	elope	elope together .	Event	Event Expression	Nested Relation
what did almayer do when mrs. almayer left and nina was gone ?	he burned his furniture and home and lived in his folly until he died .	he broke all the furniture in his office and burned it along with the house .	Event	Event Expression	Temporal Relation
what was doyle s favorite sherlock homes story ?	the adventure of the speckled band	the adventures of the speckled band .	Concept	Common Noun Phrases	Relation between Concepts
which character is a former priate ?	tom hutter .	floating tom hutter	Concept	Entity	Relation between Concepts
what does leon focus on in writing his letters ?	the beauty of the women	the charms of ces demoiselles and appearance of boarders	Attribute	Descriptions	Nested Relation
what color was the letter from lady chiltern ?	pink	pink .	Attribute	States	Attribute of Concept
"according to mary , what type of marriage was eliza living ?"	conventional and loveless .	unrequited	Attribute	States	Nested Relation
what does tito learn from fra luca ?	he finds out that his adoptive father is asking for assistance after being forced into slavery .	his father has fallen into slavery is asking for assistance	Event	Event Expression	Nested Relation
how is thiodolf related to hall sun ?	they are father and daughter	he is her father	Concept	Common Noun Phrases	Relation between Concepts
how long has socrates lived thus far ?	seventy years	70 years	Attribute	Numerics	Attribute of Concept
how does arthur corrupt his son ?	he encourages him to drink and smoke .	he encourages his to drink and swear	Event	Event Expression	Causal Relation
what does laura realize the next day while getting water ?	"lizzie can still hear the goblin s market but after eating the fruit , she can no longer hear them ."	she does n't hear the goblin s chanting	Attribute	Descriptions	Temporal Relation
what did rogers do on the day after he shot down several of the han s airships ?	he married wilma deering .	he became a member of the gang .	Event	Event Expression	Temporal Relation
who was paul traveling to see ?	his elderly wife	his wife	Concept	Entity	Event Argument - Concept
why does landsmann not become a doctor ?	he had a spinal injury	a spinal injury	Attribute	States	Causal Relation
"after being released by the cia , what organization subsequently arrests newton ?"	fbi	fbi	Concept	Entity	Temporal Relation
heraclitus believes names are derived from where ?	he believed they arrived from divine origins .	from divine origins	Attribute	Descriptions	Nested Relation
how does falder break his neck ?	he throws himself down the stairs	throwing himself dowm the stairs .	Event	Event Expression	Nested Relation
who painted dorian s portrait ?	basil hallward	basil hallard	Concept	Entity	Relation between Concepts
what happens to liza the night after she gets drunk with her mother ?	she has a miscarriage .	she has a fatal miscarriage	Event	Event Expression	Temporal Relation
where does liza live ?	"vere street , lambeth"	with her aging mother .	Concept	Entity	Relation between Concepts
what happens to lady blythe after she confesses ?	she dies .	she dies	Event	Event Expression	Temporal Relation
how does albert escape after the tower is blown up ?	he leaps from it	leaps from tower	Event	Event Expression	Temporal Relation
letters that create certain sounds can express what ?	the essence of the word .	essence of word s subject	Attribute	Descriptions	Attribute of Concept
what is the name of the wolfing s leader ?	thiodolph	thiodolf .	Concept	Entity	Relation between Concepts
how did the housekeeper s feet get wet during holmes ' visit ?	holmes accidentally kicks over a water pot	sherlock had wet the floor by overturning a water-filled pot .	Event	Event Expression	Causal Relation
"nemo , the copyist turns out to be whom ?"	lady dedlocks former lover captain hawdon	captain hawdon	Concept	Entity	Relation between Concepts
who is the protagonist ?	dick forrest	dick forrest	Concept	Entity	Book Attribute
what event occured that changed christopher s life when he was ten years old ?	his father died .	his father s death .	Event	Event Name	Temporal Relation
why does charity go to dr.merkle ?	she was n't feeling well .	she has been feeling unwell .	Attribute	States	Causal Relation
why did theodora and hector decide to never see each other again ?	their love was too strong to simply be friends	they can not remain just friends	Attribute	Descriptions	Causal Relation
"once out of prison , what did ernest want to do for work ?"	be a tailor .	become a tailor	Event	Event Expression	Temporal Relation
what does laura say after lizzie tells her about jeanie ?	"that tomorrow night , she will get more fruit from the goblins"	she says she will get more fruit the next night .	Event	Event Expression	Temporal Relation
who enters with mercury ?	cupid	cupid	Concept	Entity	Event Argument - Concept
who does ermyntrude pretend to be in front of the inca ?	the princess	the princess	Concept	Entity	Event Argument - Concept
how did chartiy reveal to harney that she had married mr. royall ?	in a letter .	she reveals that information to harney in a letter .	Attribute	Descriptions	Nested Relation
who was the woman that rodgers helped in the forest after he woke up ?	wilma deering	wilma deering .	Concept	Entity	Temporal Relation
what kind of gift did the inca give to ermyntrude ?	a jewel .	a jewel	Concept	Common Noun Phrases	Event Argument - Concept
how do we know the people in the museum aware of soames ' presence ?	"they stared at him , followed him , and seem afraid of him ."	it caused a great stir .	Event	Event Expression	Causal Relation
how did newtown become blind ?	from the x-ray machine	he is blinded by x-rays taken by the fbi when they are examining him	Event	Event Expression	Causal Relation
what do paul and the clergyman do when the old woman on the island dies ?	argue over the meaning of her death .	they debate the meaning of her death from a positivist viewpoint	Event	Event Expression	Temporal Relation
what cause the drought on anthea ?	nuclear wars	nuclear wars	Event	Event Name	Causal Relation
who does mr. lawrence end up marrying ?	esther hargrave	esther hargrave	Concept	Entity	Event Argument - Concept
who is the antagonist of this story ?	the american government	"u.s. government agencies , cia and fbi"	Concept	Entity	Book Attribute
what does pozdnyshev do after he is acquitted ?	rides trains seeking forgiveness from other passengers	rides train apologizing to passengers	Event	Event Expression	Temporal Relation
what happens to brewster s money when he attempts to lose it in stock speculation ?	he increases his profits .	it increases	Event	Event Expression	Temporal Relation
who is queen during this story ?	queen victoria	victoria	Concept	Entity	Book Attribute
in what setting does the final act take place ?	grosvenor square	grosvenor square .	Concept	Entity	Book Attribute
what century does this story take place ?	the 18th century .	18th century	Attribute	Numerics	Book Attribute
who is the sculptor froelig ?	haakan frolich	sculptor haakan frolich	Concept	Entity	Relation between Concepts
what precipatating agent did the pair use to poison emily inglethorpe ?	bromide	bromine	Concept	Common Noun Phrases	Event Argument - Concept
what does socrates tell crito not to worry about ?	public opinion	public opinion	Concept	Common Noun Phrases	Event Argument - Concept
who is theodora s father courting ?	mrs. mcbride	mrs.mcbride	Concept	Entity	Event Argument - Concept
why does ahmed want to send dana away from him ?	ahmed wants to send diana away because of his	he loves her and does not want to mistreat her anymore .	Attribute	Descriptions	Causal Relation
whose voice did everard hear in the dark gallery ?	his cousins voice .	his cousin s	Concept	Entity	Event Argument - Concept
socrates believed that foreign origins of word changed so much that what it sounds like is ?	names have been twisted to make old language sound barbarous	lose resemblance tot he original word	Attribute	Descriptions	Nested Relation
what did almayer do after his wife left ?	"destroyed his furniture , burned his house to the ground , and lived in his folly , smoking opium until he died ."	long trips and hopeless dream	Event	Event Expression	Temporal Relation
who finds out that newton is an alien first ?	nathan bryce	nathan bryce	Concept	Entity	Event Argument - Concept
where does the ship sail from ?	melbourne	melbourne	Concept	Entity	Event Argument - Concept
what does arthur do when he finds out about helen s plans to leave ?	he burns her artists s tools .	arthur burns her art tools .	Event	Event Expression	Temporal Relation
whi is mary and robert s father ?	captain grant	captain grant	Concept	Entity	Relation between Concepts
which character becomes engaged to fred wright ?	diana berry	diana barry	Concept	Entity	Event Argument - Concept
what weapon does pozdnyshev use to kill his wife ?	a dagger	he kills her with a dagger .	Concept	Common Noun Phrases	Event Argument - Concept
what job does ermyntrude s father suggest she do find another man to marry ?	lady s maid	lady s maid .	Concept	Common Noun Phrases	Nested Relation
what city is described when talking about the laws of man ?	athens	athens	Concept	Entity	Nested Relation
who is the narrator on most ?	dr. watson .	dr. watson	Concept	Entity	Book Attribute
what is the name of the native american tribe who captured hutter and march as they sneaked into their camp ?	the hurons	bumppo	Concept	Entity	Temporal Relation
what type of neighborhood are the jewish people living in ?	the jews were living in ghettos .	ghettos	Concept	Common Noun Phrases	Attribute of Concept
what medication does pozdnyshev s wife begin taking after the birth of her fifth child ?	contraceptives	she starts taking birth control .	Concept	Common Noun Phrases	Temporal Relation
what did hutter confess on this deathbed ?	that judith and hetty are not his biological daughers .	judith and hetty are not his real daughters .	Attribute	Descriptions	Nested Relation
how old in josiah when he and theodora marry ?	he is in his fifties .	fifties .	Attribute	Numerics	Event Argument - Attribute
in what town do tregennis s siblings live ?	tredannick wollas	they live in cornwall .	Concept	Entity	Relation between Concepts
what will the agent claim to find ?	diamond mines	diamond mines .	Concept	Common Noun Phrases	Event Argument - Concept
what is necessary to commit a crime according to elder simms ?	"according to elder simms , a weapon is necessary to commit a crime ."	a weapon .	Concept	Common Noun Phrases	Event Argument - Concept
what happens to balthus and slasher ?	they sacrifice themselves in order to save the settlers during a pictish attack .	they die	Event	Event Expression	Event Trigger
who decides to launch the rescue mission for the britannia ?	lord and lady glenarvan	lord and lady glenarvan	Concept	Entity	Event Argument - Concept
whoe is the enlightened ferryman that govinda meets at the river ?	siddhartha .	vasudeva	Concept	Entity	Event Argument - Concept
where does ezra girdlestone travel to buy diamonds from the dealers ?	south africa	south africa	Concept	Entity	Event Argument - Concept
why does magus make so much money selling forgeries ?	the people who buy the paintings do n't know they re fakes	he sells them for a large profit .	Event	Event Expression	Causal Relation
what drives the men into the ship ?	volcanic ash and stampeding mammoths .	stampede of mammoths and volcanic ash	Concept	Common Noun Phrases	Event Argument - Concept
how do lord and lady glenarvan contact mary and robert ?	an announcement in the newspaper	through an announcement in a newspaper .	Event	Event Expression	Nested Relation
why does baldassarre vow revenge on tito ?	tito denied knowing him and called him a madman .	he wo n't help him get out of prison	Event	Event Expression	Causal Relation
what is lady dedlock s first name ?	honoria	honoria	Concept	Entity	Relation between Concepts
"who betrayed diana , allowing her to be kidnapped ?"	her guide	"her guide , who was easily bribed ."	Concept	Common Noun Phrases	Event Argument - Concept
what do nora and cathleen receive from the dead corpse ?	clothing	clothing	Concept	Common Noun Phrases	Event Argument - Concept
what forest do the goths reside in ?	mirkwood	mirkwood	Concept	Entity	Relation between Concepts
who conforted otto when his hand was cut ?	pauline	"baron henry s daughter , pauline"	Concept	Entity	Temporal Relation
who is believed to be of divine antecedents ?	"the wolfing war leader , thiodolf ."	the wolfing war leader .	Concept	Entity	Attribute of Concept
what is the london play called ?	the acorn planters	the acorn planters	Concept	Entity	Attribute of Concept
why does baron henry attack castle drachenhausen ?	"baron conrad killed his uncle , baron frederick ."	because baron conrad killed his uncle baron frederick	Event	Event Expression	Causal Relation
what object shows the truth about dorian gray ?	the portrait	a portrait	Concept	Book-Specific	Event Argument - Concept
what is the name of the wolfing war leader ?	thiodolf	thiodolf .	Concept	Entity	Attribute of Concept
after the death of michael and bartley what entity does maurya claim can no longer threaten the family ?	the sea .	a ghost	Concept	Common Noun Phrases	Temporal Relation
who turns falder over to the police ?	walter how	robert cokeson	Concept	Entity	Event Argument - Concept
"towards the end of the story , how did almayer attempt to forget his daughter ?"	he smoked opium .	smoking opium	Event	Event Expression	Nested Relation
what does siddhartha do after he is saved from suicide by the holy word om ?	he renounces love and riches to live once again in his beliefs .	he meets again with govinda and then decides to remain in the presence of the river from which he heard the word	Event	Event Expression	Temporal Relation
where is violet ray from ?	new york	new york	Concept	Entity	Relation between Concepts
what do the goths sacrifice to the gods ?	horses	horses .	Concept	Common Noun Phrases	Event Argument - Concept
what gang did rodgers and the other humans fight while he was at the camp ?	the hans	the hans	Concept	Entity	Temporal Relation
who lingers at the stream ?	laura	laura	Concept	Entity	Event Argument - Concept
what happened to george and owen tregennis ?	they went insane	the two brothers had gone insane .	Event	Event Expression	Event Trigger
how does virginia s conversion affect her religious beliefs ?	she gives up on her religion .	she becomes more sexual .	Event	Event Expression	Nested Relation
what is an example of a civilized country given in the story ?	france	france	Concept	Entity	Attribute of Concept
what type of wreckage are the men scouting ?	the wreckage alien starship	alien starship	Concept	Book-Specific	Event Argument - Concept
under who s influence does dorian explore his sexuality ?	lord henry	lord henry wotton	Concept	Entity	Nested Relation
with whom does liza have an affair ?	jim blakeston	jim	Concept	Entity	Event Argument - Concept
how many stories had innocent already written upon arriving in london ?	one	1 book	Attribute	Numerics	Temporal Relation
what is mr. roundhay s profession ?	he is a vicar .	mr. roundhay is the local vicar .	Concept	Common Noun Phrases	Attribute of Concept
what does diana order to take place in the valley of gargaphie ?	solemn revels	solemn revels	Event	Event Name	Nested Relation
what does lord caversham announce before the house in the final act ?	that sir robert s has denounced the argentine canal	nothing sir robert does the denouncing	Event	Event Expression	Nested Relation
what did charity do when mr. royall gave her money for clothes ?	went to the doctor to get her brooch back .	she takes it to dr. merkle to get her brooch back .	Event	Event Expression	Temporal Relation
who switches theodora s letters ?	morella winmarleigh	morella winmarleigh	Concept	Entity	Event Argument - Concept
sir leicester suffers from a stroke upon learning of whose death ?	tulkinghorn	lawyers	Concept	Entity	Nested Relation
why is huntingdon s death painful ?	he is afraid of what awaits him .	because he is terrified .	Event	Event Expression	Causal Relation
what does the firm of girdlestone buy to save the company ?	diamonds	diamonds	Concept	Common Noun Phrases	Nested Relation
how does james die ?	a hunting accident	an accident at a hunting party	Event	Event Expression	Causal Relation
who was innocent lured into a relationship with ?	amadis jocelyn	amadis jocelyn .	Concept	Entity	Event Argument - Concept
who complains that some music is strong enough to change one s self ?	pozdnyshev	pozdnyshev	Concept	Entity	Nested Relation
"which character comes from bangor , maine ?"	miranda hope .	miranda hope	Concept	Entity	Relation between Concepts
what is richards first choice of career ?	medicine	medicine	Concept	Common Noun Phrases	Attribute of Concept
who is asked to help determine who poisioned emily inglethorpe ?	hercule poirot	hercule poirot .	Concept	Entity	Nested Relation
who is pelagia ?	philammon s long lost sister	plilammon s long-lost sister	Attribute	Descriptions	Attribute of Concept
why does brewster jump overboard on the cruise ?	to save a drown sailor .	to save a drowning sailor .	Event	Event Expression	Causal Relation
why was jim arrested ?	jim was arrested for knocking dave out using a jock bone from a mule .	for hitting dave with a hock bone	Event	Event Expression	Causal Relation
who is the owner of the manor in the story ?	madame de merret	madame de merret	Concept	Entity	Relation between Concepts
who represented jim in his trial ?	jim was represented by elder simms	elder childers	Concept	Entity	Event Argument - Concept
what is the best possiable way that socrates thought words came about ?	by using names for things	using names that are like the things they name	Attribute	Descriptions	Nested Relation
where had the jews of europe been forced to live ?	in ghettos	ghettos	Concept	Common Noun Phrases	Event Argument - Concept
what kind of poison was emily dying from ?	strychnine poisoning .	strychnine	Concept	Common Noun Phrases	Event Argument - Concept
"according to the deal soames made , how would he find out whether his poetic talent would have been recognized in the future ?"	by spending an afternoon in the reading room of the british museum 100 years ahead of his time	by selling his soul to the devil .	Event	Event Expression	Nested Relation
what will this discovery of diamonds do ?	plunge the price of diamonds to avoid ruin .	diamond prices raise	Event	Event Expression	Event Trigger
who is the senior clerk at james how & sons ?	robert cokeson	robert cokeson	Concept	Entity	Relation between Concepts
what happens to tom s airship ?	it is stolen .	it is stolen	Event	Event Expression	Event Trigger
how is pandarus related to criseyde ?	he s her uncle .	pandarus is criseyde s uncle	Concept	Common Noun Phrases	Relation between Concepts
who is watching over the girls ?	a classmates aunt is acting as chaperone .	aunt jimsie	Concept	Entity	Event Argument - Concept
who discovers la grande breteche at the start of the story ?	dr. bianchon .	dr. bianchon	Concept	Entity	Event Argument - Concept
what does liza claim all men do to their wives ?	beat them	beat them	Event	Event Expression	Nested Relation
which character is the narrator for the majority of the stories ?	watson .	dr. watson	Attribute	Book Attributes	Book Attribute
what adjective is used to describe virginia st. john ?	superb	superb	Attribute	States	Attribute of Concept
who was the inca disguised as when he met ermyntrude ?	captain duval .	"captain duval , a messenger"	Concept	Entity	Temporal Relation
who built the cottage that paul and virginia stay in ?	the bishop	"virginia s husband , the bishop"	Concept	Entity	Nested Relation
how did the witch seek to make the world more just ?	making the purposes more vain	by playing pranks	Event	Event Expression	Nested Relation
what is will s relationship to mr. fletcher ?	he is mr. fletcher s grandson .	he is his grandson	Concept	Common Noun Phrases	Relation between Concepts
what happens when jews wish for a state ?	they will have it .	they get it .	Event	Event Expression	Temporal Relation
what contract would be broken if he had escaped ?	social contract .	the social contract .	Concept	Common Noun Phrases	Causal Relation
where is miranda hope from ?	"bangor , maine"	"bangor , maine"	Concept	Entity	Relation between Concepts
who does troilus see passing through the temple ?	criseyde	criseyde	Concept	Entity	Nested Relation
who is the protagonist of the story ?	dick forrest .	dick forrest	Concept	Entity	Book Attribute
who is cratylus a disciple of ?	hericlitus	heraclitus .	Concept	Entity	Relation between Concepts
what job did the king offer curdie ?	bodyguard	bodyguard .	Concept	Common Noun Phrases	Event Argument - Concept
what crime does will commit against mr. fletcher ?	murder .	murder	Event	Event Name	Event Trigger
whom is rebecca going to live with ?	her two aunts	"miranda and jane sawyer , her 2 aunts"	Concept	Entity	Event Argument - Concept
who do the gang bosses assign to investigate the wreck of the hans aircraft ?	anthony rogers and wilma deering .	wilma and rogers	Concept	Entity	Nested Relation
what does lizzie plan to use to pay for the goblin fruit ?	a silver penny .	silver	Concept	Common Noun Phrases	Nested Relation
what was rebecca selling when she first met adam ladd ?	soap to help a poor family receive a lamp	soap	Concept	Common Noun Phrases	Temporal Relation
where does innocent return to die ?	her farm .	to her farm .	Concept	Book-Specific	Event Argument - Concept
what organization arrests newton ?	cia	the cia	Concept	Entity	Event Argument - Concept
how many ethical arguments does socrates propose ?	two	two arguments are used .	Attribute	Numerics	Event Argument - Attribute
who opposed the jews being settled in palestine ?	herzl	herzl	Concept	Entity	Nested Relation
who socrates visited by at the beginning of the story ?	crito	crito	Concept	Entity	Event Argument - Concept
why did ermyntrude originally not want to marry the inca ?	he was poor because of his country s war .	he was far too poor .	Attribute	States	Causal Relation
who assisted alfred in the crime ?	evelyn howard .	evelyn howard .	Concept	Entity	Event Argument - Concept
what color is paula s bathing suit ?	white .	white	Attribute	States	Attribute of Concept
what does stress do to some of the students in harvard ?	some commit suicide	drives some to suicide	Event	Event Expression	Event Trigger
where does kate go when she leaves pete ?	to phillip s house	london	Concept	Book-Specific	Temporal Relation
who represents jim in the trial ?	elder simms represents jim in the trial .	elder simms	Concept	Entity	Event Argument - Concept
what does astolfo travel in to get to the moon ?	elijah s chariot .	flaming chariot	Concept	Book-Specific	Event Argument - Concept
